No,Name,Code,REM,Last Done,LACP,CHG,%CHG,Vol ('00),BUY Vol ('00),BUY,SELL,SELL Vol ('00),HIGH,LOW,stock_id
1,DNEX [S],4456,s,0.87,0.845,+0.025,+2.96,928524,4082,0.865,0.87,56933,0.87,0.835,4456
2,TWL [S],7079,,0.065,0.06,+0.005,+8.33,908537,381898,0.06,0.065,59567,0.07,0.06,7079
3,TECHNAX [S],2739,,0.09,0.075,+0.015,+20.00,739580,116749,0.085,0.09,43188,0.095,0.075,2739
4,AHB [S],7315,,0.2,0.13,+0.070,+53.85,669175,2100,0.195,0.2,56018,0.2,0.125,7315
5,AGES [S],7145,,0.045,0.045,-,-,593829,430159,0.04,0.045,64303,0.045,0.04,7145
6,BSLCORP-WA [S],7221WA,,0.235,0.185,+0.050,+27.03,527941,3026,0.235,0.24,5056,0.275,0.185,7221WA
7,BINTAI [S],6998,,0.175,0.175,-,-,434582,13649,0.175,0.18,28139,0.18,0.165,6998
8,ATAIMS [S],8176,s,0.64,0.645,-0.005,-0.78,415397,8450,0.64,0.645,1457,0.665,0.635,8176
9,CUSCAPI [S],0051,,0.355,0.365,-0.010,-2.74,365449,11678,0.35,0.355,21685,0.395,0.35,0051
10,SAUDEE [S],5157,,0.065,0.06,+0.005,+8.33,354888,50076,0.06,0.065,142519,0.065,0.055,5157
11,TRIVE,0118,,0.08,0.065,+0.015,+23.08,320467,22791,0.075,0.08,5820,0.085,0.065,0118
12,IMPIANA,7243,,0.06,0.065,-0.005,-7.69,284388,43883,0.06,0.065,81524,0.065,0.055,7243
13,TAWIN-WB [S],7097WB,,0.05,0.055,-0.005,-9.09,267318,89687,0.05,0.055,127892,0.055,0.045,7097WB
14,EASTLND [S],2097,,0.095,0.075,+0.020,+26.67,249124,1335,0.095,0.1,16823,0.115,0.08,2097
15,KEYASIC,0143,,0.09,0.085,+0.005,+5.88,243859,4385,0.09,0.095,33155,0.09,0.08,0143
16,HIBISCS [S],5199,s,0.84,0.815,+0.025,+3.07,240022,402,0.84,0.845,2719,0.85,0.815,5199
17,KAB [S],0193,s,0.245,0.25,-0.005,-2.00,223372,23651,0.24,0.245,2108,0.25,0.23,0193
18,CHEETAH [S],7209,,0.155,0.15,+0.005,+3.33,214598,38588,0.15,0.155,4940,0.16,0.135,7209
19,BSLCORP [S],7221,,0.945,0.935,+0.010,+1.07,202133,300,0.945,0.95,991,1.01,0.935,7221
20,JIANKUN [S],8923,,0.26,0.21,+0.050,+23.81,181774,3625,0.255,0.26,1,0.265,0.215,8923
21,ATECH [S],5302,,2.81,2.59,+0.220,+8.49,175105,403,2.81,2.83,85,2.86,2.59,5302
22,KTB,4847,,0.23,0.21,+0.020,+9.52,167277,5900,0.225,0.23,3105,0.235,0.21,4847
23,DOLPHIN [S],5265,,0.08,0.07,+0.010,+14.29,164505,109837,0.075,0.08,107221,0.085,0.07,5265
24,TOPGLOV [S],7113,s,2.47,2.44,+0.030,+1.23,143619,187,2.46,2.47,3284,2.47,2.43,7113
25,MYEG [S],0138,s,1.07,1.06,+0.010,+0.94,141848,41479,1.06,1.07,9407,1.08,1.05,0138
26,EFORCE [S],0065,,0.635,0.625,+0.010,+1.60,139352,11056,0.635,0.64,3797,0.65,0.62,0065
27,KNM [S],7164,s,0.135,0.135,-,-,138085,109672,0.135,0.14,27171,0.14,0.135,7164
28,AXTERIA [S],7120,,0.245,0.24,+0.005,+2.08,136946,643,0.24,0.245,10014,0.25,0.23,7120
29,TWL-WD [S],7079WD,,0.035,0.025,+0.010,+40.00,131627,235685,0.03,0.035,215567,0.035,0.025,7079WD
30,ARMADA,5210,s,0.485,0.475,+0.010,+2.11,129538,71998,0.48,0.485,18158,0.49,0.475,5210
31,EVERGRN [S],5101,,0.56,0.54,+0.020,+3.70,128284,1408,0.555,0.56,2493,0.57,0.53,5101
32,DATAPRP [S],8338,,0.795,0.8,-0.005,-0.63,128063,250,0.795,0.8,1161,0.805,0.79,8338
33,SUPERMX [S],7106,s,1.5,1.5,-,-,125029,3793,1.49,1.5,254,1.51,1.47,7106
34,HWGB [S],9601,,0.215,0.23,-0.015,-6.52,123351,1125,0.21,0.215,8317,0.23,0.2,9601
35,WONG [S],7050,,0.795,0.77,+0.025,+3.25,114525,20,0.795,0.8,3515,0.805,0.77,7050
36,BARAKAH [S],7251,,0.095,0.08,+0.015,+18.75,113718,49496,0.09,0.095,7133,0.1,0.08,7251
37,PBBANK,1295,s,4.16,4.12,+0.040,+0.97,107870,2124,4.14,4.16,534,4.16,4.12,1295
38,NIHSIN [S],7215,,0.135,0.115,+0.020,+17.39,105679,12231,0.13,0.135,15529,0.135,0.12,7215
39,ICONIC [S],9113,,0.29,0.3,-0.010,-3.33,105515,11225,0.285,0.29,3641,0.31,0.285,9113
40,RGTBHD [S],9954,,0.69,0.665,+0.025,+3.76,102630,1280,0.685,0.69,2783,0.7,0.665,9954
41,SMI [S],4375,,0.205,0.195,+0.010,+5.13,101238,11328,0.2,0.21,5222,0.21,0.195,4375
42,HUBLINE [S],7013,,0.04,0.04,-,-,101184,653165,0.035,0.04,33265,0.045,0.04,7013
43,CTOS [S],5301,,1.93,1.92,+0.010,+0.52,100883,3463,1.92,1.93,78,1.96,1.91,5301
44,INARI [S],166,s,3.9,3.92,-0.020,-0.51,100814,62,3.89,3.9,3896,3.93,3.88,166
45,CENSOF [S],5195,,0.345,0.335,+0.010,+2.99,99177,739,0.345,0.35,9359,0.355,0.335,5195
46,GPACKET [S],82,,0.085,0.08,+0.005,+6.25,98723,22198,0.085,0.09,45779,0.09,0.085,82
47,CIMB,1023,s,5.46,5.43,+0.030,+0.55,91731,12188,5.46,5.47,138,5.47,5.43,1023
48,PERMAJU [S],7080,,0.07,0.065,+0.005,+7.69,89521,76767,0.065,0.07,19241,0.07,0.06,7080
49,MINDA [S],5166,,0.08,0.075,+0.005,+6.67,88626,4195,0.08,0.085,32252,0.085,0.075,5166
50,LUSTER,5068,,0.13,0.115,+0.015,+13.04,85603,51230,0.125,0.13,11820,0.13,0.115,5068
51,ACME [S],7131,,0.23,0.225,+0.005,+2.22,85190,7387,0.225,0.23,1752,0.24,0.21,7131
52,AEM [S],7146,,0.035,0.035,-,-,85100,29999,0.035,0.04,50168,0.04,0.03,7146
53,ALAM [S],5115,,0.03,0.025,+0.005,+20.00,83519,15270,0.03,0.035,56850,0.035,0.025,5115
54,VS [S],6963,s,1.34,1.34,-,-,82113,3828,1.34,1.35,1314,1.35,1.32,6963
55,G3 [S],7184,,0.105,0.11,-0.005,-4.55,81355,12761,0.105,0.11,32558,0.115,0.1,7184
56,WZSATU [S],7245,,0.23,0.23,-,-,80981,9275,0.23,0.235,18356,0.235,0.225,7245
57,CWG [S],9423,,0.505,0.49,+0.015,+3.06,75255,1143,0.5,0.505,3289,0.51,0.48,9423
