No,Name,Code,REM,Last Done,LACP,CHG,%CHG,Vol ('00),BUY Vol ('00),BUY,SELL,SELL Vol ('00),HIGH,LOW,stock_id
1,PHB [S],4464,,0.01,0.01,-,-,1705539,1248847,0.01,0.015,1389388,0.015,0.01,4464
2,AHB [S],7315,,0.2,0.28,-0.080,-28.57,1519761,2555,0.2,0.205,850,0.3,0.195,7315
3,SAPNRG [S],5218,s,0.05,0.05,-,-,454963,268148,0.05,0.055,263206,0.055,0.045,5218
4,AIRASIA [S],5099,s,0.745,0.785,-0.040,-5.10,453046,984,0.745,0.75,600,0.785,0.735,5099
5,TWL [S],7079,,0.055,0.065,-0.010,-15.38,422044,362442,0.055,0.06,162769,0.065,0.055,7079
6,NWP [S],5025,,0.2,0.23,-0.030,-13.04,388680,59742,0.2,0.205,29052,0.245,0.2,5025
7,DNEX [S],4456,s,0.855,0.865,-0.010,-1.16,340151,28305,0.855,0.86,13962,0.875,0.85,4456
8,TRIVE,0118,,0.11,0.115,-0.005,-4.35,317607,3064,0.11,0.115,4527,0.125,0.105,0118
9,HIBISCS [S],5199,s,0.86,0.855,+0.005,+0.58,307828,3020,0.86,0.865,955,0.885,0.85,5199
10,BINTAI [S],6998,,0.155,0.165,-0.010,-6.06,288091,40458,0.155,0.16,25977,0.17,0.155,6998
11,SAUDEE [S],5157,,0.065,0.075,-0.010,-13.33,253207,220759,0.065,0.07,39358,0.075,0.065,5157
12,TAWIN-WB [S],7097WB,,0.055,0.055,-,-,233335,24040,0.05,0.055,176765,0.055,0.05,7097WB
13,OCR [S],7071,,0.155,0.17,-0.015,-8.82,219353,7674,0.15,0.155,27601,0.18,0.155,7071
14,DATAPRP [S],8338,,0.705,0.75,-0.045,-6.00,217198,1087,0.705,0.71,1204,0.755,0.69,8338
15,MYEG [S],0138,s,1.04,1.03,+0.010,+0.97,214391,49358,1.03,1.04,913,1.05,1.02,0138
16,TAWIN [S],7097,s,0.14,0.14,-,-,214251,22021,0.135,0.14,55220,0.145,0.13,7097
17,ARMADA,5210,s,0.5,0.5,-,-,212495,33544,0.5,0.505,12171,0.51,0.495,5210
18,MBSB,1171,s,0.605,0.58,+0.025,+4.31,197657,13289,0.6,0.605,9156,0.61,0.575,1171
19,INARI [S],0166,s,3.56,3.68,-0.120,-3.26,195601,302,3.55,3.56,37,3.69,3.52,0166
