No,Name,Last Done,Open,CHG,%CHG,HIGH,LOW
1,FBMKLCI,1550.17,1543.38,7.06,0.46,1550.17,1540.31
2,FBMT100,10923.25,10907.18,19.61,0.18,10923.25,10887.08
3,FBM70,14222.36,14339.19,-105.05,-0.73,14344.7,14204.66
4,FBMSCAP,15918.83,16028.77,-94.56,-0.59,16030.22,15918.83
5,FBMEMAS,11230.69,11213.09,13.27,0.12,11230.86,11201.75
6,CONSTRUCTION,153.93,155.33,-1.38,-0.89,155.33,153.68
7,CONSUMER PRODUCTS & SERVICES,577.78,578.68,-0.59,-0.1,578.68,576.58
8,ENERGY,723.75,727.28,0.9,0.12,729.63,719.8
9,F4GBM,873.75,871.95,1.94,0.22,873.75,869.72
10,F4GBMS,956.21,960.41,-3.49,-0.36,960.41,953.69
11,FA40,10315.34,10252.81,90.35,0.88,10329.18,10246.29
12,FBMACE,6753.89,6687.64,61.86,0.92,6795.68,6687.64
13,FBMAPMYR,16241.26,16211.89,24.57,0.15,16253.17,16130.1
14,FBMAPUSD,11129.25,11111.77,40.61,0.37,11129.98,11047.81
15,FBMFLG,20835.65,20716.96,117.33,0.57,20862.43,20699.82
16,FBMHIJRAH,12483.89,12506.87,-16.37,-0.13,12506.87,12447.83
17,FBMMSCAP,19308.95,19421.63,-96.02,-0.49,19433.23,19308.95
18,FBMMSCS,19104.94,19237.05,-108.88,-0.57,19254.83,19104.94
19,FBMPALMOIL-NC,10735.72,10701.37,46.87,0.44,10735.72,10602.97
20,FBMSHA,12026.64,12062.73,-32.84,-0.27,12066.72,12006.95
21,FINANCIAL SERVICES,15866.33,15697.39,158.91,1.01,15866.33,15668.02
22,HEALTH CARE,2337.19,2304.07,34.03,1.48,2347.63,2304.07
23,INDUSTRIAL PRODUCTS & SERVICES,202.94,202.49,0.67,0.33,203.43,202.16
24,PLANTATION,6730.89,6722.7,12.06,0.18,6730.89,6683.32
25,PROPERTY,710.0,708.48,1.04,0.15,710.39,707.05
26,REIT,785.99,786.47,-1.34,-0.17,789.35,784.38
27,TECHNOLOGY,93.24,96.06,-2.93,-3.05,96.07,93.1
28,TELECOMMUNICATIONS & MEDIA,634.14,634.66,0.56,0.09,636.26,631.83
29,TRANSPORTATION & LOGISTICS,867.62,875.37,-7.04,-0.8,875.37,867.2
30,UTILITIES,870.71,869.65,2.59,0.3,874.08,868.3
