No,Name,Code,REM,Last Done,LACP,CHG,%CHG,Vol ('00),BUY Vol ('00),BUY,SELL,SELL Vol ('00),HIGH,LOW,stock_id
1,TRIVE,0118,,0.13,0.08,+0.050,+62.50,2773417,37885,0.125,0.13,1930,0.165,0.08,0118
2,PDZ [S],6254,,0.06,0.06,-,-,1962853,97550,0.055,0.06,41707,0.08,0.06,6254
3,BORNOIL [S],7036,,0.03,0.03,-,-,1582658,2405224,0.025,0.03,701744,0.035,0.03,7036
4,AHB [S],7315,,0.255,0.2,+0.055,+27.50,1293629,4017,0.25,0.255,21615,0.26,0.21,7315
5,DNEX [S],4456,s,0.885,0.87,+0.015,+1.72,1277568,7896,0.88,0.885,70657,0.89,0.86,4456
6,AGES [S],7145,,0.05,0.045,+0.005,+11.11,1258852,306041,0.045,0.05,126283,0.05,0.04,7145
7,TECHNAX [S],2739,,0.095,0.09,+0.005,+5.56,983190,93584,0.095,0.1,61303,0.105,0.09,2739
8,SAUDEE [S],5157,,0.075,0.065,+0.010,+15.38,952371,192393,0.07,0.075,18377,0.08,0.06,5157
9,KOMARK [S],7017,,0.155,0.135,+0.020,+14.81,901068,30981,0.155,0.16,13939,0.22,0.13,7017
10,TRIVE-WC,0118WC,,0.035,0.03,+0.005,+16.67,608161,16831,0.035,0.04,38978,0.045,0.025,0118WC
11,BINTAI [S],6998,,0.175,0.175,-,-,541581,2601,0.175,0.18,48795,0.19,0.17,6998
12,NWP [S],5025,,0.26,0.25,+0.010,+4.00,485552,26073,0.255,0.26,55216,0.27,0.245,5025
13,TWL-WD [S],7079WD,,0.04,0.035,+0.005,+14.29,425612,307157,0.035,0.04,332376,0.04,0.035,7079WD
14,CNOUHUA,5188,,0.09,0.12,-0.030,-25.00,423318,10691,0.085,0.09,27232,0.1,0.08,5188
15,PWORTH [S],7123,,0.105,0.08,+0.025,+31.25,413904,2210,0.105,0.11,1968,0.13,0.08,7123
16,TWL [S],7079,,0.075,0.065,+0.010,+15.38,412481,178850,0.07,0.075,228557,0.075,0.065,7079
17,MTRONIC [S],0043,,0.025,0.025,-,-,388340,565322,0.02,0.025,193792,0.025,0.02,0043
18,TAWIN [S],7097,s,0.125,0.125,-,-,299203,200893,0.125,0.13,34477,0.135,0.125,7097
19,BPURI [S],5932,,0.05,0.05,-,-,274567,213085,0.05,0.055,152304,0.055,0.05,5932
20,TAWIN-WB [S],7097WB,,0.05,0.05,-,-,264457,344613,0.045,0.05,54750,0.055,0.05,7097WB
21,ATAIMS [S],8176,s,0.63,0.64,-0.010,-1.56,264312,7575,0.63,0.635,2522,0.645,0.625,8176
22,TOPGLOV [S],7113,s,2.5,2.47,+0.030,+1.21,237098,678,2.49,2.5,4044,2.53,2.46,7113
23,MINETEC [S],7219,,0.115,0.1,+0.015,+15.00,230286,53210,0.11,0.115,6292,0.12,0.1,7219
24,IMPIANA,7243,,0.06,0.06,-,-,220391,185250,0.055,0.06,18386,0.065,0.055,7243
25,INARI [S],0166,s,3.75,3.9,-0.150,-3.85,219870,513,3.75,3.76,895,3.89,3.74,0166
26,MYEG [S],0138,s,1.05,1.07,-0.020,-1.87,217801,3725,1.05,1.06,8452,1.07,1.05,0138
27,PDZ-WC [S],6254WC,,0.02,0.02,-,-,209047,112027,0.015,0.02,47885,0.025,0.02,6254WC
28,CIMB,1023,s,5.67,5.46,+0.210,+3.85,204897,1,5.61,5.67,59,5.67,5.45,1023
29,PNEPCB [S],6637,,0.12,0.095,+0.025,+26.32,202908,5701,0.115,0.12,16704,0.125,0.095,6637
30,LUSTER,5068,,0.145,0.13,+0.015,+11.54,195067,22820,0.14,0.145,57918,0.145,0.13,5068
